,Time,Season,Day_of_the_week,DHI,DNI,GHI,Wind_speed,Humidity,Temperature,PV_production,Wind_production,Electric_demand
187,2019-01-01-T15:35,1,1,44,695,186,3.22,33.612,9.76,4581,714,20485
188,2019-01-01-T15:40,1,1,42.4,675.6,171.8,3.22,33.612,9.76,4208,696,20659
189,2019-01-01-T15:45,1,1,40.8,654.6,157.6,3.22,33.612,9.76,3720,662,20832
190,2019-01-01-T15:50,1,1,39,631.6,143.2,3.22,33.612,9.76,3377,636,20999
191,2019-01-01-T15:55,1,1,37.2,606.8,129.2,3.22,33.612,9.76,2951,616,21207
192,2019-01-01-T16:00,1,1,38.8,494,106.4,2.38,43.592,6.82,2603,582,21381
193,2019-01-01-T16:05,1,1,36.6,458.8,92.4,2.38,43.88,6.72,2221,574,21551
194,2019-01-01-T16:10,1,1,33.2,440,81.2,2.4,44.31,6.58,1807,554,21729
195,2019-01-01-T16:15,1,1,30.2,404.4,68.4,2.4,44.658,6.46,1396,544,21952
196,2019-01-01-T16:20,1,1,25,434.2,61.6,2.42,45.098,6.32,1151,530,22161
197,2019-01-01-T16:25,1,1,22.2,388.6,49.6,2.4,45.398,6.22,864,522,22383
198,2019-01-01-T16:30,1,1,19.4,338.2,38.6,2.4,45.71,6.12,692,518,22605
199,2019-01-01-T16:35,1,1,14.2,239.8,25.6,2.4,44.22,5.98,546,518,22875
200,2019-01-01-T16:40,1,1,9.6,162.2,16,2.42,44.518,5.88,276,538,23169
201,2019-01-01-T16:45,1,1,7.6,126.4,11,2.42,44.882,5.76,128,555,23488
202,2019-01-01-T16:50,1,1,2.2,48.2,3.2,2.42,45.27,5.64,79,550,23774
203,2019-01-01-T16:55,1,1,0,0,0,2.4,45.662,5.52,44,540,24084
204,2019-01-01-T17:00,1,1,0,0,0,2.4,45.964,5.42,17,499,24419
205,2019-01-01-T17:05,1,1,0,0,0,2.4,46.234,5.34,2,496,24787
206,2019-01-01-T17:10,1,1,0,0,0,2.38,46.234,5.34,2,487,25185
207,2019-01-01-T17:15,1,1,0,0,0,2.36,46.418,5.28,2,470,25532
208,2019-01-01-T17:20,1,1,0,0,0,2.36,46.652,5.2,2,463,25884
209,2019-01-01-T17:25,1,1,0,0,0,2.34,46.652,5.2,2,459,26121
210,2019-01-01-T17:30,1,1,0,0,0,2.34,46.84,5.14,2,459,26341
211,2019-01-01-T17:35,1,1,0,0,0,2.34,46.882,5.08,2,459,26519
212,2019-01-01-T17:40,1,1,0,0,0,2.34,47.016,5.04,2,451,26606
213,2019-01-01-T17:45,1,1,0,0,0,2.3,47.122,5,2,442,26699
214,2019-01-01-T17:50,1,1,0,0,0,2.3,47.268,4.96,2,445,26753
215,2019-01-01-T17:55,1,1,0,0,0,2.3,47.448,4.9,2,448,26818
216,2019-01-01-T18:00,1,1,0,0,0,2.28,47.51,4.88,2,441,26845
217,2019-01-01-T18:05,1,1,0,0,0,2.26,47.716,4.82,2,425,26841
218,2019-01-01-T18:10,1,1,0,0,0,2.26,47.716,4.82,2,395,26846
219,2019-01-01-T18:15,1,1,0,0,0,2.26,47.94,4.76,2,385,26897
220,2019-01-01-T18:20,1,1,0,0,0,2.24,48.002,4.74,2,374,26916
221,2019-01-01-T18:25,1,1,0,0,0,2.22,48.136,4.7,2,369,26929
222,2019-01-01-T18:30,1,1,0,0,0,2.2,48.198,4.68,2,364,26920
223,2019-01-01-T18:35,1,1,0,0,0,2.18,48.43,4.64,2,360,26868
224,2019-01-01-T18:40,1,1,0,0,0,2.18,48.492,4.62,2,365,26889
225,2019-01-01-T18:45,1,1,0,0,0,2.2,48.538,4.6,2,363,26859
226,2019-01-01-T18:50,1,1,0,0,0,2.18,48.74,4.54,2,364,26834
227,2019-01-01-T18:55,1,1,0,0,0,2.16,48.74,4.54,2,371,26823
228,2019-01-01-T19:00,1,1,0,0,0,2.16,48.878,4.5,2,381,26815
229,2019-01-01-T19:05,1,1,0,0,0,2.14,48.94,4.48,2,377,26779
230,2019-01-01-T19:10,1,1,0,0,0,2.12,49.08,4.44,2,380,26735
231,2019-01-01-T19:15,1,1,0,0,0,2.1,49.08,4.44,2,387,26747
232,2019-01-01-T19:20,1,1,0,0,0,2.1,49.124,4.42,2,390,26715
233,2019-01-01-T19:25,1,1,0,0,0,2.1,49.282,4.38,2,401,26735
234,2019-01-01-T19:30,1,1,0,0,0,2.1,49.282,4.38,2,402,26707
235,2019-01-01-T19:35,1,1,0,0,0,2.06,49.496,4.36,2,393,26699
236,2019-01-01-T19:40,1,1,0,0,0,2.04,49.592,4.34,2,380,26668
237,2019-01-01-T19:45,1,1,0,0,0,2.02,49.656,4.32,2,379,26658
238,2019-01-01-T19:50,1,1,0,0,0,2.02,49.702,4.3,2,380,26648
239,2019-01-01-T19:55,1,1,0,0,0,2.02,49.71,4.3,2,378,26627
240,2019-01-01-T20:00,1,1,0,0,0,2,49.774,4.28,2,375,26578
241,2019-01-01-T20:05,1,1,0,0,0,1.98,49.82,4.26,2,358,26551
242,2019-01-01-T20:10,1,1,0,0,0,1.98,49.962,4.22,2,332,26452
243,2019-01-01-T20:15,1,1,0,0,0,1.98,49.962,4.22,2,333,26441
244,2019-01-01-T20:20,1,1,0,0,0,1.96,50.008,4.2,2,330,26407
245,2019-01-01-T20:25,1,1,0,0,0,1.94,50.108,4.18,2,337,26389
246,2019-01-01-T20:30,1,1,0,0,0,1.94,50.154,4.16,2,340,26328
247,2019-01-01-T20:35,1,1,0,0,0,1.92,50.404,4.14,2,339,26264
248,2019-01-01-T20:40,1,1,0,0,0,1.92,50.55,4.1,2,332,26239
249,2019-01-01-T20:45,1,1,0,0,0,1.9,50.56,4.08,2,342,26196
250,2019-01-01-T20:50,1,1,0,0,0,1.88,50.56,4.08,2,357,26138
